"Time (s),""Linear Acceleration x (m/s^2)"",""Linear Acceleration y (m/s^2)"",""Linear Acceleration z (m/s^2)"""
2.651104806E0,1.231684089E-1,-5.980587006E-2,-1.121731997E-1
2.661103572E0,1.622102857E-1,-5.400753021E-2,-1.354075670E-1
2.671102338E0,1.903643012E-1,-1.446914673E-2,-1.476989985E-1
2.681101104E0,1.861185431E-1,8.513450623E-3,-1.734036207E-1
2.691099870E0,1.883654594E-1,2.446937561E-2,-1.982504129E-1
2.701098570E0,2.021434307E-1,4.059791565E-2,-1.454668045E-1
2.711097336E0,2.105970383E-1,6.149673462E-2,-1.195660830E-1
2.721096036E0,2.113134265E-1,6.085872650E-2,-9.165811539E-2
2.731094802E0,2.047199011E-1,6.729793549E-2,-1.693606377E-2
2.741093568E0,1.551088691E-1,3.040027618E-2,-4.940450191E-2
2.751092268E0,3.231638670E-2,1.492691040E-2,-4.920876026E-2
2.761091034E0,-4.488706589E-2,-1.752281189E-2,-1.113784313E-2
2.771089800E0,-1.550957263E-1,-2.395343781E-2,8.097839355E-2
2.781088500E0,-2.184285223E-1,2.737045288E-4,9.933006763E-2
2.791087266E0,-2.205238938E-1,4.318237305E-2,1.017611027E-1
2.801086032E0,-1.766379774E-1,6.422615051E-2,9.810554981E-2
2.811084798E0,-1.098867059E-1,5.150890350E-2,1.077147722E-1
2.821083531E0,-5.741423368E-2,3.390789032E-2,9.734165668E-2
2.831082297E0,-6.097775698E-2,2.348804474E-2,6.737411022E-2
2.841081063E0,-8.388048410E-2,2.270889282E-2,2.321398258E-2
2.851079829E0,-9.737041593E-2,2.684402466E-2,-3.207683563E-3
2.861078529E0,-1.131791174E-1,2.335548401E-3,-1.197743416E-2
2.871077295E0,-9.770569205E-2,-2.888679504E-3,-7.737576962E-2
2.881076028E0,-4.608285427E-2,4.075050354E-3,-6.436455250E-2
2.891074761E0,7.134699821E-2,1.120662689E-2,-4.832744598E-3
2.901073527E0,1.000893116E-1,4.001712799E-2,-6.058669090E-2
2.911072293E0,1.026171446E-1,5.465412140E-2,-3.917336464E-2
2.921071059E0,1.086183786E-1,2.393436432E-2,-7.722473145E-2
2.931069825E0,1.231608987E-1,3.406047821E-2,-6.672823429E-2
2.941068591E0,1.173748970E-1,3.469276428E-2,2.291142941E-2
2.951067357E0,1.134405136E-1,3.524684906E-2,2.539682388E-2
2.961066090E0,-2.945917845E-2,1.169204712E-2,8.639478683E-2
2.971064756E0,-1.201168001E-1,-2.565383911E-3,7.199513912E-2
2.981063489E0,-1.651334167E-1,1.405906677E-2,7.355594635E-2
2.991062222E0,-1.669000089E-1,3.528213501E-2,6.522977352E-2
3.001060955E0,-1.670655608E-1,2.050781250E-2,-2.213907242E-2
3.011059688E0,-1.371563077E-1,-3.787040710E-3,-1.105570793E-1
3.021058354E0,-7.549488544E-2,-3.259181976E-2,-4.123258591E-2
3.031057020E0,-5.541783571E-2,-3.976631165E-2,4.521846771E-2
3.041055753E0,-8.395844698E-2,-4.461669922E-2,-9.607076645E-4
3.051054486E0,-1.270859540E-1,-1.585960388E-2,-9.679782391E-2
3.061053219E0,-8.117896318E-2,5.862712860E-2,1.529967785E-2
3.071051985E0,1.948714256E-2,9.226894379E-2,2.326583862E-2
3.081050751E0,1.305857897E-1,7.802772522E-2,-8.448648453E-2
3.091049517E0,2.122492194E-1,5.214881897E-2,5.366325378E-3
3.101048283E0,2.521549463E-1,4.072093964E-2,2.729058266E-2
3.111046949E0,2.435398698E-1,6.160736084E-4,3.164243698E-2
3.121045749E0,1.225796342E-1,-5.854034424E-2,-2.157759666E-2
3.131044515E0,4.270923138E-2,-7.211017609E-2,-2.623701096E-2
3.141043215E0,-9.185135365E-3,-4.975795746E-2,4.412567616E-2
3.151041981E0,1.054197550E-2,-6.080627441E-3,8.742129803E-2
3.161040747E0,1.936227083E-2,2.539920807E-2,6.005191803E-2
3.171039513E0,1.951777935E-2,5.445575714E-2,-1.037704945E-2
3.181038313E0,5.592530966E-2,6.441211700E-2,-1.639888287E-1
3.191037079E0,8.730727434E-2,5.553722382E-2,-2.337514162E-1
3.201035845E0,8.244782686E-2,-7.839202881E-4,-1.880446672E-1
3.211034611E0,4.364377260E-2,-2.819061279E-2,-1.554768085E-1
3.221033311E0,2.195447683E-2,-1.241683960E-2,-8.372592926E-2
3.231032077E0,4.669898748E-2,8.621215820E-4,4.262268543E-2
3.242769267E0,4.513740540E-2,-1.486873627E-2,7.344925404E-2
3.252767967E0,2.937304974E-2,1.943016052E-2,-1.010143757E-2
3.262766733E0,-4.910767078E-3,3.400802612E-3,3.322911263E-2
3.272765499E0,9.290039539E-3,-4.873371124E-2,-2.752566338E-2
3.282764199E0,1.897150278E-2,-3.377246857E-2,-8.065938950E-2
3.292762965E0,4.341715574E-2,-6.710052490E-3,-4.889214039E-2
3.302761731E0,4.134440422E-2,8.385658264E-3,-5.531644821E-2
3.312760497E0,7.507324219E-2,9.165763855E-3,-1.046428680E-1
3.322759363E0,8.922404051E-2,5.087375641E-2,-1.981561184E-1
3.332758263E0,8.864802122E-2,-1.967239380E-2,-2.492083311E-1
3.342757163E0,-5.367565155E-2,-7.549381256E-2,-2.740474939E-1
3.352756129E0,-2.033275366E-1,-4.264831543E-3,-1.940191984E-1
3.362755062E0,-8.353328705E-2,1.194267273E-1,-1.378937960E-1
3.372754028E0,1.158255935E-1,2.549877167E-1,-1.566017866E-1
3.382753028E0,1.475113034E-1,2.421836853E-1,-3.075343370E-1
3.392752028E0,4.986572266E-2,5.255603790E-2,-2.011806965E-1
3.402751094E0,-1.648126543E-1,-1.467981339E-1,-7.650637627E-2
3.412750194E0,-4.235415161E-1,-2.546806335E-1,-7.315111160E-2
3.422749260E0,-6.063125730E-1,-2.354745865E-1,4.127073288E-2
3.432748326E0,-7.374655604E-1,-1.203479767E-1,4.603160620E-1
3.442747392E0,-8.463369608E-1,2.064704895E-3,7.669299841E-1
3.452746458E0,-1.112186551E0,1.366052628E-1,7.172807455E-1
3.462745524E0,-1.016392708E0,2.570295334E-1,6.812390089E-1
3.472744524E0,-5.850003362E-1,3.372030258E-1,6.594098210E-1
3.482743590E0,-2.446116209E-1,2.454147339E-1,4.262495041E-1
3.492742656E0,-1.058186293E-1,3.027915955E-3,1.489207745E-1
3.502741656E0,-1.679159105E-1,-9.322738647E-2,-8.958113194E-2
3.512740722E0,-1.869922280E-1,-3.378486633E-2,-3.875676394E-1
3.522739788E0,-9.622004628E-2,2.806758881E-2,-3.744093180E-1
3.532738788E0,1.039373875E-1,6.358718872E-2,-1.485627890E-1
3.542737854E0,4.249423742E-2,1.133832932E-1,-1.582313776E-1
3.552736920E0,-8.742654324E-2,1.295652390E-1,-2.089463472E-1
3.562735986E0,-4.644900560E-2,2.049446106E-3,1.571196318E-1
3.572735052E0,-5.667567253E-3,-1.183776855E-1,6.157323122E-1
3.582734118E0,-1.140633225E-1,-1.382722855E-1,6.978956461E-1
3.592733184E0,-3.826463223E-1,-1.147909164E-1,7.866237760E-1
3.602732250E0,-6.081013680E-1,-1.674175262E-2,9.348042011E-1
3.612731250E0,-7.743033767E-1,4.334831238E-2,7.614299655E-1
3.622730250E0,-7.641400695E-1,1.110353470E-1,4.081978798E-1
3.632729183E0,-4.746900797E-1,1.150512695E-2,4.397865534E-1
3.642728049E0,-3.027796745E-2,-1.692590714E-1,3.999011517E-1
3.652726915E0,2.411170602E-1,-1.704101562E-1,-9.498834610E-2
3.662725748E0,4.188145399E-1,-1.830415726E-1,-4.773020744E-1
3.672724581E0,3.422666788E-1,-1.740350723E-1,-2.204592228E-1
3.682723381E0,-7.136565447E-2,-1.150016785E-1,-2.570521832E-1
3.692722081E0,-4.314228594E-1,3.892898560E-3,-5.929512978E-1
3.702720814E0,-5.182343721E-1,1.923618317E-1,-9.688180685E-1
3.712719547E0,-1.798528433E-1,3.328704834E-1,-6.106389761E-1
3.722718213E0,2.499721050E-1,2.982110977E-1,-3.082196712E-1
3.732716946E0,4.782811403E-1,1.983966827E-1,-4.374656677E-1
3.742715679E0,3.636251092E-1,1.558475494E-1,-5.216053724E-1
3.752714312E0,-3.307461739E-4,1.990604401E-1,-7.700864077E-1
